category,disaster_code,year,quarter,unit_level,unit_id,n_documents,programs_total,programs_completed,programs_in_progress,programs_cancelled,program_completion_rate,program_duration_quarters_mean,program_duration_quarters_n_obs,sum_budget_usd,sum_obligated_usd,sum_drawdown_usd,sum_expended_usd,admin_activity_count,admin_activity_budget_usd,admin_activity_obligated_usd,admin_activity_drawdown_usd,admin_activity_expended_usd,outcome_persons_total_actual,outcome_persons_total_expected,outcome_households_total_actual,outcome_households_total_expected,severity_rainfall_inches_max,severity_wind_speed_mph_max,sem_signal_count,sem_signal_confidence_mean,admin_staff_count_sum,admin_staff_count_n_obs,admin_payroll_usd_sum,admin_payroll_usd_n_obs,affected_population_persons_sum,affected_population_persons_n_obs,affected_population_households_sum,affected_population_households_n_obs,severity_deaths_count_sum,severity_deaths_count_n_obs,severity_unmet_need_usd_sum,severity_unmet_need_usd_n_obs,ratio_disbursed_to_obligated,ratio_expended_to_disbursed,duration_of_completion,timeliness,progress_rate,signal_density,spending_cv,completion_pct,has_admin_staff_signal,has_admin_payroll_signal,has_deaths_signal,has_unmet_need_signal
2015_Floods,15f,2018,4,disaster,2015_Floods|15f,1,21.0,0.0,21.0,0.0,0.0,,0.0,15270756.85,485379.47,16943910.81,5332011.99,2.0,1493910.0,309529.42,1465918.0,802736.85,,,,,11.76,,8.0,0.84,,,,,,,,,,,780803164.0,8.0,34.90858566803413,0.3146860279064465,,,0.0,8.0,0.8887055664831628,0.0,False,False,False,True
2015_Floods,15f,2019,4,disaster,2015_Floods|15f,1,63.0,0.0,63.0,0.0,0.0,,0.0,55429927.21,1626514.6,66330462.48,9723222.21,3.0,3068300.0,206456.29,3068300.0,1439480.83,,,,,323.0,,8.0,0.84,,,,,,,,,,,780803164.0,8.0,40.780735986015735,0.14658758353948992,,,0.0,8.0,0.8887055664831628,0.0,False,False,False,True
2015_Floods,15f,2020,1,disaster,2015_Floods|15f,1,59.0,0.0,59.0,0.0,0.0,,0.0,61786114.6,708671.95,61432201.73,8742233.25,2.0,3027074.0,73826.98000000001,3027074.0,1451707.81,,,,,126.0,,8.0,0.84,,,,,,,,,,,780803164.0,8.0,86.68637404090849,0.1423070149499589,,,0.0,8.0,0.8887055664831628,0.0,False,False,False,True
2015_Floods,15f,2020,3,disaster,2015_Floods|15f,1,64.0,0.0,64.0,0.0,0.0,,0.0,60243864.06,4180782.43,62670387.02,1751984181775.57,3.0,3088366.85,152115.9,3088366.85,1667454.01,,,3.0,34.0,323.0,,8.0,0.84,,,,,,,,,,,780803164.0,8.0,14.990109643184661,27955.53474428775,,,0.0,8.0,0.8887055664831628,0.0,False,False,False,True
2015_Floods,15f,2020,4,disaster,2015_Floods|15f,1,66.0,0.0,66.0,0.0,0.0,,0.0,45201833.48,4337335.91,42926236.97,28967256.12,5.0,3143689.85,494535.31,3091250.18,2161989.3200000003,,,3.0,34.0,323.0,,35.0,0.8862857142857142,,,35215.6,27.0,,,,,,,780803164.0,8.0,9.896913188353908,0.6748147092475039,,,0.0,35.0,0.8887055664831628,0.0,False,True,False,True
2015_Floods,15f,2021,1,disaster,2015_Floods|15f,1,52.0,0.0,52.0,0.0,0.0,,0.0,42179578.05,2295779.61,36922476.6,1821794525432.5,1.0,3000000.0,825745.41,3000000.0,2957456.63,,,3.0,27.0,323.0,,8.0,0.84,,,,,,,,,,,780803164.0,8.0,16.08276179436928,49341.070621262166,,,0.0,8.0,0.8887055664831628,0.0,False,False,False,True
2015_Floods,15f,2021,2,disaster,2015_Floods|15f,1,64.0,0.0,64.0,0.0,0.0,,0.0,52852018.64,2069891.59,45683718.09,3440594600513.38,3.0,3055204.1,15955.23,3052763.16,3010219.81,4586.0,4586.0,11.0,35.0,323.0,,7.0,0.84,,,,,,,,,,,700947044.0,7.0,22.07058490923189,75313.36643254773,,,0.0,7.0,0.8887055664831628,0.0,False,False,False,True
2015_Floods,15f,2021,3,disaster,2015_Floods|15f,1,55.0,0.0,55.0,0.0,0.0,,0.0,41732469.34,2494305.72,38883197.98,7021026827192.689,3.0,3049976.25,6713.77,3070023.75,2957470490023.75,4586.0,4586.0,12.0,36.0,,,7.0,0.84,,,,,,,,,,,700947044.0,7.0,15.588785956839322,180567.11361046054,,,0.0,7.0,0.8887055664831628,0.0,False,False,False,True
2015_Floods,15f,2021,4,disaster,2015_Floods|15f,1,50.0,1.0,49.0,0.0,0.02,,0.0,37818145.95,1261342.16,40221006.89,4015035717475.05,,,,,,4586.0,4586.0,12.0,36.0,,,7.0,0.84,,,,,,,,,,,700947044.0,7.0,31.887467307046965,99824.34622921619,,,0.02,7.0,0.8887055664831628,0.02,False,False,False,True
2015_Floods,15f,2022,1,disaster,2015_Floods|15f,1,44.0,1.0,43.0,0.0,0.0227272727272727,,0.0,49973160.57,3972.27,41173062.94,3394412261513.28,2.0,3027992.0,0.0,3013996.0,2985462.44,,,,,,,7.0,0.84,,,,,,,,,,,700947044.0,7.0,10365.121942868938,82442.54906320263,,,0.0227272727272727,7.0,0.8887055664831628,0.0227272727272727,False,False,False,True
